weight,source,target
1,5620,7120
1,5110,3630
1,5620,700
1,5900,3410
1,5110,540
2,5260,430
1,430,2320
4,5240,9620
15,9620,5240
1,5240,5820
5,4720,5930
1,5930,710
1,5600,620
2,5220,5860
1,5260,1360
1,1360,1540
1,5140,5700
11,4720,4710
1,5600,5320
1,5000,910
1,910,5000
2,5240,5600
3,5600,5700
3,5700,5600
1,5360,8710
1,8710,5620
2,4620,4060
4,4060,4760
8,4760,4060
1,4060,800
2,4010,3600
1,310,7700
50,4110,4720
1,4540,800
1,4240,4720
2,4720,4240
1,4240,4840
1,4840,50
10,4020,6260
9,4600,2340
1,2340,2840
5,4020,4230
21,4110,5240
3,4600,230
1,230,420
3,4620,420
2,4210,4250
2,4600,620
2,620,2020
1,4110,2550
7,4610,4110
13,4110,4150
1,4150,5100
1,4110,2000
1,2000,2720
1,2720,4030
4,4510,4760
13,4760,4510
2,4600,2020
1,2020,2300
3,2300,2020
1,4110,6440
1,6440,8650
8,4020,4000
1,4210,4140
5,4140,4720
28,4610,3600
2,4350,3410
1,3410,4350
1,4110,1540
1,1540,1310
1,1310,710
1,4540,1540
1,220,1360
1,1360,600
11,4010,310
1,4040,8030
1,4010,2630
1,2630,3600
7,4720,5510
1,4110,3620
1,3620,3160
5,4110,4430
3,4610,4840
2,4840,3410
1,4040,6100
3,4110,3410
1,3410,4900
9,4600,3600
9,4110,5810
1,4550,1020
1,4120,5610
13,4020,4010
2,4150,5240
1,4840,4800
1,4800,540
5,4600,4050
1,4610,4460
9,4010,4050
3,4020,7340
1,4600,2010
1,4540,1300
11,4600,5240
3,4020,5260
1,4010,3650
1,3650,4010
1,4010,5810
2,4110,2310
1,2310,2010
1,4650,3410
1,3410,4760
2,4760,2140
3,4020,7010
1,7010,7020
1,7020,2750
1,2750,7010
4,4600,2000
10,4020,4030
1,4030,1000
1,1000,6420
1,6420,1000
2,4510,5810
3,4600,800
5,4610,4220
2,4020,5810
5,4600,3650
16,4110,4030
9,4030,4110
1,4110,1610
3,4510,5240
3,4610,2540
1,710,5160
1,5160,5810
11,4020,3600
12,4620,2340
1,4120,2850
1,2850,5600
1,4000,4250
1,4110,2320
1,2320,6260
2,6260,2320
3,4120,4050
3,4040,2310
5,4610,5700
1,4610,3130
4,4010,5260
3,5260,4010
2,4010,5900
1,5900,4010
1,5900,940
18,4600,5400
10,5400,4600
2,4010,4600
5,4600,2720
1,2310,2720
9,4110,4050
26,4150,4110
1,4000,1010
2,4200,4230
5,4110,4220
1,4010,7020
24,4110,5400
1,2340,2710
1,2710,2850
1,4120,3600
1,4640,2330
1,2330,2720
1,4110,4800
2,4110,1020
1,1020,4110
2,4110,2850
1,2850,9990
1,9990,800
1,4640,350
2,4040,2830
4,4010,4700
1,4110,7420
1,4020,4040
16,4600,4110
1,4120,3500
2,4110,2750
1,2750,5620
1,5620,2750
1,4110,3050
2,4020,2600
